L_2_norm_adv,L_cham_norm_adv,L_emd_norm_adv,L_infty_norm_adv,b_infty,b_two,batch_size,beta_cham,beta_emd,beta_infty,beta_two,data_dir,dump_dir,dyn_bound_mode,evaluation_mode,exp_id,gamma,gpu,hard_bound_mode,initial_alpha,initial_weight,lr_attack,natural_L_cham_norm_adv,network,num_iter,num_point,phase,results_file,s_infty,save_file,sor,srs,step,target,u_infty,u_two,upper_bound_weight,victim
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,35
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
0.645350456237793,0.7306286096572876,16.925582885742188,0.02000001072883606,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,5.2342658042907715,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,2
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,8
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,8
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,8
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,8
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,8
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.02,0.8,5,0.0,0.0,0.0,0.0,data,natural/XH2,1,0,XH2,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/XH2/XH2_full.csv,0.1,natural/XH2/XH2.csv,1.1,10.0,1,5,0.02,4.0,80,8
